id,answer
CORP-TAX-021,"Der Gewinn bei rechnungslegungspflichtigen Körperschaften ist gemäß § 5 Abs. 1 KStG nach den Vorschriften des Unternehmensgesetzbuches (UGB) zu ermitteln. Dies erfolgt in der Regel nach der Bilanzierungsmethode, die die Erstellung einer Bilanz und einer Gewinn- und Verlustrechnung umfasst."
CORP-TAX-022,"Bei der Gründung einer Unternehmensgruppe nach § 9 KStG sind insbesondere die Voraussetzungen des § 7 KStG (Beteiligungsvoraussetzungen), § 8 KStG (Mindestbeteiligung) und § 10 KStG (Konzernzugehörigkeit) zu prüfen. Zudem ist zu beachten, dass die Beteiligung an der anderen GmbH mindestens 50 % betragen muss, um die Gruppenbesteuerung in Anspruch nehmen zu können. Relevant sind auch die Regelungen zur Verlustverrechnung gemäß § 12 KStG."
CORP-TAX-023,"Wenn eine GmbH nach einem Verlustjahr im Folgejahr wieder Gewinn erzielt, kann der Verlust gemäß § 8 Abs. 4 KStG mit dem Gewinn verrechnet werden, um die Steuerlast zu mindern. Zudem sind die Vorschriften zur Verlustvortragsregelung gemäß § 18 Abs. 4 KStG zu beachten, die eine Verrechnung von Verlusten mit zukünftigen Gewinnen ermöglichen. Es ist wichtig, die Verlustverrechnung im Jahresabschluss und in der Steuererklärung korrekt zu dokumentieren."
CORP-TAX-024,"Der Gewinnermittlungszeitraum ist in der Regel das Kalenderjahr (§ 4 Abs. 1 EStG). Abweichungen sind möglich, wenn ein Wirtschaftsjahr gewählt wird, was jedoch im Voraus festgelegt und dem Finanzamt mitgeteilt werden muss (§ 5 Abs. 1 EStG)."
CORP-TAX-025,"Einlagen und Beiträge von Gesellschaftern werden bei der Einkommensermittlung grundsätzlich nicht als Betriebseinnahmen erfasst, da sie nicht aus dem laufenden Geschäftsbetrieb stammen. Relevant ist hier § 4 Abs. 1 EStG, der die Ermittlung des Gewinns aus Gewerbebetrieb regelt. Diese Einlagen erhöhen das Eigenkapital, beeinflussen jedoch nicht direkt die steuerliche Gewinnermittlung."
CORP-TAX-026,"Der Verlustabzug gemäß § 8 Abs. 4 Z 2 lit. b KStG ist nicht auf 75 % begrenzt, wenn der Verlustabzug aus einem Verlustvortrag erfolgt, der vor dem 1. Jänner 2014 entstanden ist. In diesem Fall kann der gesamte Verlust abgezogen werden, solange die entsprechenden Voraussetzungen erfüllt sind."
CORP-TAX-027,Für die finanzielle Verbindung im Sinne des § 9 KStG ist eine Mindestbeteiligungsquote von 25 % erforderlich. Diese Regelung ist in § 9 Abs. 1 KStG festgelegt.
CORP-TAX-028,"Die finanzielle Verbindung zu einem Gruppenmitglied muss gemäß § 9 Abs. 1 KStG während des gesamten Zeitraums der Zugehörigkeit zur Unternehmensgruppe bestehen. Dies bedeutet, dass die Verbindung durchgehend aufrechterhalten werden muss, um die Vorteile der Gruppenbesteuerung in Anspruch nehmen zu können."
CORP-TAX-029,"Nein, Vorgruppenverluste des Gruppenträgers, die aus Teilwertabschreibungen auf Beteiligungen an Körperschaften einer anderen Unternehmensgruppe stammen, können nicht mit dem Gruppengewinn verrechnet werden. Dies ergibt sich aus § 9 Abs. 1 KStG, der die Verrechnung von Verlusten innerhalb einer Unternehmensgruppe regelt und klarstellt, dass nur Verluste aus der eigenen Gruppe berücksichtigt werden können."
CORP-TAX-030,"Wenn eine österreichische Körperschaft in Österreich und Deutschland unbeschränkt steuerpflichtig ist und als Gruppenträger fungieren möchte, unterliegt sie den Regelungen des § 9 KStG (Körperschaftsteuergesetz) sowie den Bestimmungen des deutschen Körperschaftsteuergesetzes. Dies kann zu einer Doppelbesteuerung führen, die durch das Doppelbesteuerungsabkommen zwischen Österreich und Deutschland gemildert werden kann. Es ist wichtig, die jeweiligen nationalen Vorschriften und die Abkommensregelungen zu beachten, um steuerliche Nachteile zu vermeiden."
CORP-TAX-031,"Vorgruppenverluste sind Verluste, die in einer Unternehmensgruppe vor der Bildung der steuerlichen Organschaft entstanden sind. Gemäß § 9 Abs. 7 KStG können diese Verluste unter bestimmten Voraussetzungen innerhalb der Gruppe verrechnet werden, jedoch nur, wenn die Verluste in der Zeit der Organschaft nicht mehr genutzt werden können. Die Regelungen zur Verlustverrechnung sind in § 15 KStG und § 2 Abs. 2 Z 2 KStG zu finden."
CORP-TAX-032,"Bei der Verlustverrechnung in einer Unternehmensgruppe nach österreichischem Recht sind die Unterschiede zwischen inländischen und ausländischen Gruppenmitgliedern insbesondere im § 9 KStG und § 10 KStG geregelt. Inländische Gruppenmitglieder können Verluste unbeschränkt mit Gewinnen verrechnen, während ausländische Gruppenmitglieder nur bis zur Höhe der im Inland erzielten Gewinne verrechnet werden können. Zudem unterliegen Verluste ausländischer Gruppenmitglieder der Nachversteuerung, wenn diese in der Folge im Ausland genutzt werden (§ 10 Abs. 2 KStG)."
CORP-TAX-033,"Ja, die Einjahresfrist gemäß § 10 Abs. 1 KStG gilt auch für Anteile aus Kapitalerhöhungen, sofern die Beteiligung an der ausländischen Gesellschaft im Rahmen einer Schachtelregelung berücksichtigt wird. Entscheidend ist, dass die Anteile mindestens ein Jahr gehalten werden, um die Steuerbefreiung für Dividenden und Veräußungsgewinne in Anspruch nehmen zu können."
CORP-TAX-034,"Bei der Veräußerung einer internationalen Schachtelbeteiligung sind insbesondere die Regelungen des § 10 KStG (Körperschaftsteuergesetz) relevant, die die Steuerbefreiung für Veräußerungsgewinne aus Schachtelbeteiligungen regelt. Zudem sind die Vorschriften des § 8 Abs. 1 KStG zu beachten, die die Verrechnung von Verlusten mit Gewinnen betreffen. Vorjahresverluste können unter bestimmten Voraussetzungen mit dem Veräußerungsgewinn verrechnet werden, was in § 10d EStG (Einkommensteuergesetz) geregelt ist."
CORP-TAX-035,"Eine Beteiligung von 8 % an einer deutschen GmbH erfüllt nicht die Voraussetzungen für die internationale Schachtelbegünstigung gemäß § 10 Abs. 1 KStG, da die Mindestbeteiligung 10 % beträgt. Dividenden aus dieser Beteiligung sind daher nicht steuerfrei, sondern unterliegen der Körperschaftsteuer gemäß § 8 Abs. 1 KStG."
CORP-TAX-036,"Die Option zur Steuerwirksamkeit einer Schachtelbeteiligung gemäß § 10 Abs. 1 KStG hat zur Folge, dass beim konzerninternen Weiterverkauf im Rahmen einer Umgründung die Gewinne aus der Veräußertung der Schachtelbeteiligung steuerfrei bleiben, sofern die Voraussetzungen des § 10 Abs. 1 KStG erfüllt sind. Dies kann die steuerliche Belastung der beteiligten Unternehmen erheblich reduzieren."
CORP-TAX-037,"Gewinnanteile aus ausländischen Schachtelbeteiligungen sind trotz § 10 KStG steuerpflichtig, wenn die Beteiligung nicht die Voraussetzungen des § 10 Abs. 1 KStG erfüllt, insbesondere wenn die ausländische Gesellschaft nicht in einem Staat ansässig ist, mit dem Österreich ein Doppelbesteuerungsabkommen hat, oder wenn die Beteiligung nicht als ""Schachtel"" im Sinne des § 10 KStG anerkannt wird."
CORP-TAX-038,"Nach § 11 KStG gelten als Betriebsausgaben alle Aufwendungen, die durch den Betrieb veranlasst sind, insbesondere solche, die zur Erzielung von Einkünften notwendig sind. Dazu zählen unter anderem Personalaufwendungen, Miet- und Pachtkosten sowie Abschreibungen. Es ist jedoch zu beachten, dass Aufwendungen, die nicht betrieblich veranlasst sind, nicht abzugsfähig sind."
CORP-TAX-039,"Nach § 12 KStG sind insbesondere folgende Steuern nicht als Betriebsausgaben abzugsfähig: die Körperschaftsteuer, die Kapitalertragsteuer sowie die Gewerbesteuer. Diese Regelung stellt sicher, dass bestimmte Steuerarten nicht die Bemessungsgrundlage für die Ermittlung des steuerlichen Gewinns mindern."
CORP-TAX-040,"Zinsen für konzerninterne Beteiligungsfinanzierungen sind gemäß § 4 Abs. 4a EStG nicht abzugsfähig, wenn die Finanzierung nicht dem Fremdvergleichsgrundsatz entspricht oder wenn die Zinsen über den marktüblichen Zinssatz hinausgehen. Zudem sind sie nicht abzugsfähig, wenn die Finanzierung zur Steuervermeidung genutzt wird."
CORP-TAX-041,"Der Gewinn eines abweichenden Wirtschaftsjahres wird gemäß § 4 Abs. 1 EStG im Veranlagungsjahr erfasst, das dem Wirtschaftsjahr folgt. Das bedeutet, dass der Gewinn für ein Wirtschaftsjahr, das beispielsweise vom 1. Juli bis zum 30. Juni des folgenden Jahres läuft, im Veranlagungsjahr für das Kalenderjahr erfasst wird, in dem das Wirtschaftsjahr endet."
CORP-TAX-042,"Das Einkommen einer Körperschaft wird gemäß § 7 Abs. 1 KStG ermittelt, indem der Gewinn aus der Betriebsführung (gemäß § 4 Abs. 1 EStG) ermittelt und um zulässige Abzüge, wie z.B. Betriebsausgaben (§ 4 Abs. 4 EStG) und Verlustvorträge (§ 18 KStG), bereinigt wird. Weitere relevante Abzüge können auch Sonderausgaben und außergewöhnliche Belastungen sein, die in den entsprechenden Bestimmungen des EStG geregelt sind."
CORP-TAX-043,"Bei der Überleitung vom Handelsbilanzgewinn zum steuerpflichtigen Einkommen einer rechnungslegungspflichtigen GmbH sind insbesondere die Normen des § 7 KStG (Ermittlung des Einkommens), § 8 KStG (Einkünfte aus Gewerbebetrieb) sowie § 9 KStG (Abzugsfähigkeit von Aufwendungen) relevant. Auch § 10 KStG (Rücklagen) kann in bestimmten Fällen von Bedeutung sein."
CORP-TAX-044,"Ja, die Art der Einkommensverwendung hat Einfluss auf die Einkommensermittlung. Bei Kapitalgesellschaften wird die Ausschüttung von Gewinnen gemäß § 27 KStG nicht als Betriebsausgabe anerkannt, während bei Personengesellschaften Entnahmen die Gewinnermittlung nicht beeinflussen, da der Gewinn den Gesellschaftern unabhängig von Entnahmen zugerechnet wird (§ 4 Abs. 1 EStG)."
CORP-TAX-045,"Ja, eine Körperschaft mit abweichendem Wirtschaftsjahr kann ihre Verlustvorträge unbegrenzt mit dem Jahresgewinn verrechnen, gemäß § 18 Abs. 4 KStG. Es ist jedoch zu beachten, dass die Verrechnung nur bis zur Höhe des steuerlichen Einkommens des jeweiligen Wirtschaftsjahres möglich ist."
CORP-TAX-046,"Gemeinsamkeiten zwischen einem Mantelkauf (§ 8 KStG) und dem Verlust von Verlustvorträgen bei Ausscheiden aus einer Gruppe (§ 9 KStG) bestehen darin, dass beide Regelungen den Verlustvortrag betreffen und steuerliche Konsequenzen für Unternehmen haben. Der Unterschied liegt darin, dass beim Mantelkauf die Verlustvorträge einer übernommenen Gesellschaft unter bestimmten Bedingungen erhalten bleiben können, während beim Ausscheiden aus einer Gruppe die Verlustvorträge der ausscheidenden Gesellschaft in der Regel verloren gehen (§ 9 Abs. 1 KStG)."
CORP-TAX-047,"Eine Körperschaft kann nach einem Mantelkauf ihre Verluste grundsätzlich nicht mehr nutzen, weil gemäß § 8 Abs. 4 KStG die Verlustnutzung ausgeschlossen ist, wenn sich die Gesellschafterstruktur ändert und die Körperschaft nicht mehr die gleiche wirtschaftliche Identität aufweist. Eine Ausnahme besteht jedoch, wenn die Körperschaft weiterhin die gleichen wirtschaftlichen Aktivitäten ausübt und die Verluste aus der Zeit vor dem Mantelkauf stammen, was in der Praxis jedoch selten der Fall ist."
CORP-TAX-048,"Rückvergütungen von Erwerbs- und Wirtschaftsgenossenschaften gelten als Einkommensverwendung, wenn sie an die Mitglieder ausgeschüttet werden und die Rückvergütungen aus dem Gewinn der Genossenschaft stammen. Relevant ist hier § 24 Abs. 1 Z 2 EStG, der die steuerliche Behandlung von Rückvergütungen regelt."
CORP-TAX-049,"Wenn ein ausländisches Gruppenmitglied die Unternehmensgruppe verlässt und zuvor zugerechnete Verluste im Ausland noch nicht verrechnet wurden, können diese Verluste gemäß § 9 Abs. 6 KStG nicht mehr im Rahmen der Gruppenbesteuerung berücksichtigt werden. Die Verluste verfallen in der Regel, da sie nicht mehr mit den Einkünften der verbleibenden Gruppenmitglieder verrechnet werden können. Es ist jedoch zu prüfen, ob eine Verlustverrechnung im Ausland nach den dort geltenden steuerlichen Regelungen möglich ist."
CORP-TAX-050,"Die Unternehmensgruppe ermöglicht eine Verlustverrechnung zwischen den Gruppenmitgliedern, was zu einer Reduzierung der Gesamtsteuerlast führen kann. Relevant ist hier § 9 KStG, der die steuerliche Behandlung von Unternehmensgruppen regelt. Zudem können Gewinne und Verluste innerhalb der Gruppe steuerlich neutral ausgeglichen werden, was die Liquidität der Gruppe verbessert."
CORP-TAX-051,"Für eine Unternehmensgruppe mit inländischem Gruppenträger gelten insbesondere die Bestimmungen des § 9 KStG, der die Verlustverrechnung innerhalb der Gruppe regelt. § 7 Abs. 3 KStG ermöglicht die Verlustverrechnung zwischen den inländischen Tochtergesellschaften, während § 12 KStG die Regelungen zur Verlustnutzung bei ausländischen Tochtergesellschaften behandelt. Die Vorgruppenverluste können gemäß § 10 KStG ebenfalls berücksichtigt werden."
CORP-TAX-052,"Ja, eine Beteiligungsgemeinschaft kann als Gruppenträger fungieren, sofern die Voraussetzungen des § 9 Abs. 1 KStG erfüllt sind. Die Mindestquote für die einzelnen Mitbeteiligten beträgt 10 % des Stammkapitals oder der Anteile, um in die Gruppenbesteuerung aufgenommen zu werden."
CORP-TAX-053,"Ja, für die Steuerfreiheit inländischer Beteiligungserträge gemäß § 10 Abs. 1 KStG ist eine Mindestbeteiligungsquote von 10 % erforderlich. Zudem muss die Beteiligung mindestens ein Jahr gehalten werden, um die Steuerfreiheit in Anspruch nehmen zu können."
CORP-TAX-054,"Die 'Option zur Steuerwirksamkeit' bezieht sich auf die Möglichkeit, bestimmte steuerliche Regelungen, wie z.B. die Anwendung der Körperschaftsteuer, zu wählen oder abzulehnen. Diese Option wird in der Regel durch eine formelle Erklärung gegenüber dem Finanzamt ausgeübt, wobei die relevanten Vorschriften im Körperschaftsteuergesetz (KStG) zu finden sind, insbesondere § 7 Abs. 1 KStG, der die Voraussetzungen für die Steuerpflicht von Körperschaften regelt."
CORP-TAX-055,"Bei einer Sitzverlegung einer inländischen Tochtergesellschaft ins Ausland entsteht grundsätzlich keine internationale Schachtelbeteiligung im Sinne des § 10 KStG, da die Beteiligung nicht mehr in Österreich ansässig ist. Die stillen Reserven der Tochtergesellschaft unterliegen jedoch der Besteuerung gemäß § 12 Abs. 1 Z 1 KStG, da die Verlagerung des Sitzes als Veräußern der Beteiligung angesehen werden kann."
CORP-TAX-056,"(a) Bei einem konzernfremden Verkäufer sind die Zinsen für die Fremdfinanzierung grundsätzlich als Betriebsausgaben gemäß § 4 Abs. 4 EStG abzugsfähig, sofern sie angemessen sind. 

(b) Bei einer Muttergesellschaft können die Zinsen ebenfalls abzugsfähig sein, jedoch sind die Regelungen zur Missbrauchsvermeidung (§ 8 Abs. 4 KStG) und die Vorschriften zur Zinsschranke (§ 4 Abs. 12 EStG) zu beachten, die eine Begrenzung des Zinsabzugs vorsehen können."
CORP-TAX-057,"Bei nur teilweise steuerpflichtigen Körperschaften ist der Betriebsausgabenabzug gemäß § 8 Abs. 4 KStG eingeschränkt. Es dürfen nur die Betriebsausgaben abgezogen werden, die in unmittelbarem Zusammenhang mit den steuerpflichtigen Einkünften stehen."
CORP-TAX-058,"Bei einer Körperschaft, die nur teilweise steuerpflichtig ist, gilt gemäß § 8 Abs. 1 KStG, dass nur die Betriebsausgaben abgezogen werden können, die in unmittelbarem Zusammenhang mit den steuerpflichtigen Einkünften stehen. Aufwendungen, die nicht direkt mit der steuerpflichtigen Tätigkeit verbunden sind, sind nicht abzugsfähig."
CORP-TAX-059,"Strafen, die von Gerichten oder Verwaltungsbehörden verhängt werden, sind gemäß § 20 Abs. 1 Z 3 EStG nicht steuerlich abzugsfähig. Diese Regelung schließt die Abzugsfähigkeit von Geldstrafen und Bußgeldern aus."
CORP-TAX-060,"Aufsichtsratsvergütungen gelten als Einkünfte aus selbständiger Arbeit und unterliegen der Einkommensteuer gemäß § 22 Z 3 EStG. Zudem sind sie sozialversicherungspflichtig, sofern die Einkünfte bestimmte Grenzen überschreiten. Die Vergütungen sind in der Regel auch umsatzsteuerpflichtig, wenn der Aufsichtsrat als Unternehmer im Sinne des UStG betrachtet wird."
TAX-INTL-001,"Die unbeschränkte Steuerpflicht in Österreich gemäß § 1 Abs. 2 EStG setzt einen Wohnsitz oder gewöhnlichen Aufenthalt in Österreich voraus. Da die Angestellte ihren Wohnsitz in Deutschland behält und die Wiener Wohnung nicht bewohnbar ist, begründet dies in der Regel keine unbeschränkte Steuerpflicht in Österreich."
TAX-INTL-002,"Ja, der in Italien wohnende Investor ist in Österreich nur beschränkt steuerpflichtig gemäß § 1 Abs. 3 EStG, da er keinen Wohnsitz oder gewöhnlichen Aufenthalt in Österreich hat. Die Mieteinkünfte aus der Wohnung in Salzburg unterliegen der österreichischen Einkommensteuer gemäß § 2 Abs. 3 EStG."
TAX-INTL-003,"Ja, der Consultant unterliegt der unbeschränkten Steuerpflicht in Österreich gemäß § 1 Abs. 2 EStG, da er sich mehr als sechs Monate im Land aufhält. Die unbeschränkte Steuerpflicht tritt ein, wenn eine Person ihren Wohnsitz oder ihren gewöhnlichen Aufenthalt in Österreich hat."
TAX-INTL-004,"Nein, die Zweitwohnung allein führt nicht zur unbeschränkten Steuerpflicht in Österreich. Gemäß § 1 Abs. 2 EStG ist eine unbeschränkte Steuerpflicht nur gegeben, wenn der Wohnsitz oder der gewöhnliche Aufenthalt im Inland ist. Da die Managerin sich nur 50 Tage im Jahr in Österreich aufhält, ist sie nicht unbeschränkt steuerpflichtig."
TAX-INTL-005,"Ja, der Österreicher behält grundsätzlich einen inländischen Wohnsitz gemäß § 26 Abs. 1 Z 1 EStG, da er eine Wohnung in Österreich unterhält, die ihm jederzeit zur Verfügung steht, auch wenn er sich vorübergehend im Ausland aufhält. Die Tatsache, dass seine Ehefrau und das minderjährige Kind weiterhin dort leben, verstärkt diesen Wohnsitz."
TAX-INTL-006,"Eine leerstehende, unmöblierte Wohnung kann grundsätzlich einen Wohnsitz begründen, wenn die Absicht besteht, diese Wohnung zu nutzen (§ 26 Abs. 1 BAO). Wenn die Wohnung jedoch tatsächlich nicht bewohnbar gehalten wird und keine Nutzung beabsichtigt ist, könnte dies die Annahme eines Wohnsitzes in Frage stellen. Entscheidend ist die tatsächliche Nutzung und die Absicht des Steuerpflichtigen."
TAX-INTL-007,"Ein inländischer Wohnsitz kann gemäß § 26 Abs. 1 BAO begründet werden, wenn eine Person sich mit der Absicht, dort zu wohnen, an einem bestimmten Ort aufhält. Ein mobiler Wohnwagen könnte jedoch nicht als fester Wohnsitz gelten, wenn der Aufenthalt nicht dauerhaft und nicht mit der Absicht verbunden ist, dort zu wohnen. Entscheidend sind die Umstände des Einzelfalls, insbesondere die Dauer und die Absicht des Aufenthalts."
TAX-INTL-008,"Ja, die Studentin behält grundsätzlich einen inländischen Wohnsitz in Österreich, da sie im Elternhaus in Graz jederzeit ein Zimmer nutzen kann. Gemäß § 26 Abs. 1 BAO (Bundesabgabenordnung) ist ein Wohnsitz dort, wo jemand eine Wohnung innehat, die ihm jederzeit zur Verfügung steht."
TAX-INTL-009,"Ein gewöhnlicher Aufenthalt in Österreich wird gemäß § 26 Abs. 1 Einkommensteuergesetz (EStG) durch einen Aufenthalt von mehr als 183 Tagen im Jahr begründet. Da der Arbeitnehmer täglich pendelt und abends zurückkehrt, hat er in der Regel keinen gewöhnlichen Aufenthalt in Österreich, solange er nicht mehr als 183 Tage im Jahr in Österreich verbringt."
TAX-INTL-010,"Ein gewöhnlicher Aufenthalt in Österreich kann entstehen, wenn der Arbeitnehmer sich dort länger als 183 Tage im Jahr aufhält (§ 26 Abs. 1 EStG). Da der Arbeitnehmer von Montag bis Donnerstag regelmäßig in Österreich ist, könnte dies je nach Gesamtdauer der Aufenthalte im Jahr zu einem gewöhnlichen Aufenthalt führen. Es ist jedoch entscheidend, die genaue Anzahl der Tage zu prüfen."
TAX-INTL-011,"Nein, die kurzfristigen Auslandsaufenthalte unterbrechen den gewöhnlichen Aufenthalt nicht automatisch. Gemäß § 26 Abs. 1 EStG gilt eine Person als in Österreich ansässig, wenn sie sich dort länger als 183 Tage im Jahr aufhält. Die Dauer und Häufigkeit der Auslandsaufenthalte sind entscheidend, jedoch führen kurze Einsätze in der Regel nicht zu einer Unterbrechung des gewöhnlichen Aufenthalts."
