id,answer
CORP-TAX-015,"Veräußerungsgewinne aus internationalen Schachtelbeteiligungen sind grundsätzlich in der Gewinn- und Verlustrechnung erfasst, sofern sie nicht in der Gewinn- und Verlustrechnung ausgewiesen sind (§ 8 Abs. 1 KStG). § 8 Abs. 1 KStG bestimmt, dass die Veräußerung von Beteiligungen an ausländischen Unternehmen, die in der Gewinn- und Verlustrechnung ausgewiesen sind, in der Regel nicht in der Gewinn- und Verlustrechnung ausgewiesen wird (§ 8 Abs. 2 KStG). § 8 Abs. 3 KStG bestimmt, dass die Veräußerung von Beteiligungen an ausländischen Unternehmen, die in der Gewinn- und Verlustrechnung ausgewiesen sind, in der Regel nicht in der Gewinn- und Verlustrechnung ausgewiesen wird (§ 8 Abs. 3 KStG). § 8"
CORP-TAX-016,Fremdfinanzierungszinsen sind in § 8 Abs. 1 KStG geregelt. § 8 Abs. 1 KStG ist auf die Körperschaftsteuer anzuwenden. § 8 Abs. 2 KStG ist auf die Einkommensteuer zu übertragen. § 8 Abs. 3 KStG ist auf die Körperschaftsteuer zu übertragen. § 8 Abs. 4 KStG ist auf die Einkommensteuer zu übertragen. § 8 Abs. 5 KStG ist auf die Körperschaftsteuer zu übertragen. § 8 Abs. 6 KStG ist auf die Einkommensteuer zu übertragen. § 8 Abs. 7 KStG ist auf die Körperschaftsteuer zu übertragen. § 8 Abs. 8 KStG ist auf die Körperschaftsteuer zu übertragen. § 8 Abs. 9 KStG ist auf
CORP-TAX-017,"Der Betriebsausgabenabzug ist eine Steuer, die auf die Ausgaben für die Betriebsausgaben erhoben wird, die nicht in § 11 KStG erfasst sind. § 11 KStG gilt nicht für die Betriebsausgaben, § 12 KStG gilt nicht für die Betriebsausgaben, § 12 KStG gilt nicht für die Betriebsausgaben, § 12 KStG gilt nicht für die Betriebsausgaben, § 12 KStG gilt nicht für die Betriebsausgaben, § 12 KStG gilt nicht für die Betriebsausgaben, § 12 KStG gilt nicht für die Betriebsausgaben, § 12 KStG gilt nicht für die Betriebsausgaben, § 12 KStG gilt nicht für die Betriebsausgaben, § 12 KStG gilt nicht für die Betriebsausgaben,"
CORP-TAX-018,"Ja, freiwillige Spenden sind grundsätzlich abzugsfähig, sofern sie nicht durch die Körperschaftsteuer oder die Körperschaftsteuerpflicht beschränkt sind. § 8 Abs. 1 KStG stellt klar, dass Spenden, die nicht durch die Körperschaftsteuerpflicht beschränkt sind, steuerlich abzugsfähig sind, sofern sie nicht durch die Körperschaftsteuerpflicht beschränkt sind. § 8 Abs. 2 KStG stellt klar, dass Spenden, die nicht durch die Körperschaftsteuerpflicht beschränkt sind, steuerlich abzugsfähig sind, sofern sie nicht durch die Körperschaftsteuerpflicht beschränkt sind. § 8 Abs. 3 KStG stellt klar, dass Spenden, die nicht durch die Körperschaftsteuerpflicht beschränkt sind, steuerlich abzugsfähig sind, sofern sie nicht durch die Körperschaftsteuerpflicht beschränkt sind"
CORP-TAX-019,"Die Körperschaftsteuer ist eine der wichtigsten Quellen für die Körperschaftsteuer, da sie die Körperschaftsteuer nach § 8 Abs. 1 KStG abzieht. § 8 Abs. 1 KStG bestimmt, dass die Körperschaftsteuer nach § 8 Abs. 1 KStG abziehbar ist, wenn die Körperschaftsteuer nach § 8 Abs. 1 KStG abziehbar ist. § 8 Abs. 1 KStG bestimmt, dass die Körperschaftsteuer nach § 8 Abs. 1 KStG abziehbar ist, wenn die Körperschaftsteuer nach § 8 Abs. 1 KStG abziehbar ist. § 8 Abs. 1 KStG bestimmt, dass die Körperschaftsteuer nach § 8 Abs. 1 KStG abziehbar ist,"
CORP-TAX-020,"Lizenzgebühren an eine konzernzugehörige Gesellschaft sind abzugsfähig, wenn die Gesellschaft die Voraussetzungen des § 8 Abs. 1 KStG erfüllt. § 8 Abs. 1 KStG gilt nicht, wenn die Gesellschaft die Voraussetzungen des § 8 Abs. 1 KStG erfüllt. § 8 Abs. 1 KStG gilt nicht, wenn die Gesellschaft die Voraussetzungen des § 8 Abs. 1 KStG erfüllt. § 8 Abs. 1 KStG gilt nicht, wenn die Gesellschaft die Voraussetzungen des § 8 Abs. 1 KStG erfüllt. § 8 Abs. 1 KStG gilt nicht, wenn die Gesellschaft die Voraussetzungen des § 8 Abs. 1 KStG erfüllt. § 8 Abs. 1 KStG gilt nicht,"
CORP-TAX-021,"Der Gewinn bei rechnungslegungspflichtigen Körperschaften ist der Gewinn, der bei der Ermittlung des Gewinns berücksichtigt wird, der bei der Ermittlung des Gewinns berücksichtigt wird, der bei der Ermittlung des Gewinns berücksichtigt wird, der bei der Ermittlung des Gewinns berücksichtigt wird, der bei der Ermittlung des Gewinns berücksichtigt wird, der bei der Ermittlung des Gewinns berücksichtigt wird, der bei der Ermittlung des Gewinns berücksichtigt wird, der bei der Ermittlung des Gewinns berücksichtigt wird, der bei der Ermittlung des Gewinns berücksichtigt wird, der bei der Ermittlung des Gewinns berücksichtigt wird, der bei der Ermittlung des Gewinns berücksichtigt wird, der bei der Ermittlung des Gewinns berücksichtigt wird, der bei der Ermittlung des Gewinns berücksichtigt wird, der bei der Ermittlung des Gewinn"
CORP-TAX-022,"Die §§ 7–12 KStG sind zu prüfen, wenn eine GmbH 60 % einer anderen GmbH von einem konzernfremden Dritten erwirbt und eine Gruppe bilden möchte. § 7 KStG ist zu prüfen, wenn eine GmbH 60 % einer anderen GmbH von einem konzernfremden Dritten erwirbt und eine Gruppe bilden möchte. § 7 KStG ist zu prüfen, wenn eine GmbH 60 % einer anderen GmbH von einem konzernfremden Dritten erwirbt und eine Gruppe bilden möchte. § 7 KStG ist zu prüfen, wenn eine GmbH 60 % einer anderen GmbH von einem konzernfremden Dritten erwirbt und eine Gruppe bilden möchte. § 7 KStG ist zu prüfen, wenn eine GmbH 60 % einer anderen GmbH von einem konzernfremden"
CORP-TAX-023,Die steuerliche Behandlung von Verlusten aus der Körperschaftsteuer ist in § 8 Abs. 1 KStG geregelt. § 8 Abs. 1 KStG regelt die steuerliche Behandlung von Verlusten aus der Körperschaftsteuer. § 8 Abs. 2 KStG regelt die steuerliche Behandlung von Verlusten aus der Körperschaftsteuer. § 8 Abs. 3 KStG regelt die steuerliche Behandlung von Verlusten aus der Körperschaftsteuer. § 8 Abs. 4 KStG regelt die steuerliche Behandlung von Verlusten aus der Körperschaftsteuer. § 8 Abs. 5 KStG regelt die steuerliche Behandlung von Verlusten aus der Körperschaftsteuer. § 8 Abs. 6 KStG regelt die steuerliche Behandlung von Verlusten aus der Körperschaftsteuer. § 8 Abs. 7 KStG regelt die steuerliche Behandlung von Verlusten aus
CORP-TAX-024,"Der Gewinnermittlungszeitraum ist der Zeitraum, in dem die Gesellschaft die Gewinnausschüttung an die Aktionäre erhält, d.h. der Zeitraum, in dem die Gesellschaft die Ausschüttung an die Aktionäre erhält. (§ 10 Abs. 1 KStG)
Der Gewinnermittlungszeitraum ist der Zeitraum, in dem die Gesellschaft die Ausschüttung an die Aktionäre erhält, d.h. der Zeitraum, in dem die Ausschüttung an die Aktionäre erfolgt. (§ 10 Abs. 2 KStG)
Der Gewinnermittlungszeitraum ist der Zeitraum, in dem die Gesellschaft die Ausschüttung an die Aktionäre erhält, d.h. der Zeitraum, in dem die Ausschüttung an die Aktionäre erfolgt. (§ 10 Abs. 3 KStG)
Der Gewinnermittlungszeitraum ist"
CORP-TAX-025,"Die Höhe der Körperschaftsteuer wird von der Höhe der Körperschaftsteuer bestimmt. § 8 Abs. 1 KStG sieht vor, dass die Körperschaftsteuer in der Regel in der Höhe des Körperschaftsteuersatzes liegt, der in § 8 Abs. 1 KStG festgelegt ist. § 8 Abs. 2 KStG bestimmt, dass die Körperschaftsteuer in der Regel in der Höhe des Körperschaftsteuersatzes liegt, der in § 8 Abs. 1 KStG festgelegt ist. § 8 Abs. 3 KStG bestimmt, dass die Körperschaftsteuer in der Regel in der Höhe des Körperschaftsteuersatzes liegt, der in § 8 Abs. 1 KStG festgelegt ist. § 8 Abs. 4 KStG bestimmt, dass die Körperschaftsteuer in"
CORP-TAX-026,"Der Verlustabzug gemäß § 8 Abs. 4 Z 2 KStG ist auf 75 % begrenzt, wenn der Verlustabzug gemäß § 8 Abs. 4 Z 2 KStG auf die Hälfte der Summe der Verluste beschränkt ist, die der Gesellschaft durch die Veräußerung der Anteile entstanden sind (§ 8 Abs. 4 Z 2 KStG). § 8 Abs. 4 KStG gilt nicht für Verluste, die durch die Veräußerung der Anteile entstanden sind (§ 8 Abs. 4 KStG). § 8 Abs. 4 KStG gilt nicht für Verluste, die durch die Veräußerung der Anteile entstanden sind (§ 8 Abs. 4 KStG). § 8 Abs. 4 KStG gilt nicht für Verluste, die durch die Veräußerung der Anteile entstanden"
CORP-TAX-027,"Die Mindestbeteiligungsquote ist eine der Voraussetzungen, die für die finanzielle Verbindung im Sinne des § 9 KStG erforderlich sind. § 9 KStG bestimmt, dass die Mindestbeteiligungsquote für die finanzielle Verbindung im Sinne des § 9 KStG mindestens 50 % betragen muss. § 9 KStG bestimmt, dass die Mindestbeteiligungsquote für die finanzielle Verbindung im Sinne des § 9 KStG mindestens 50 % betragen muss. § 9 KStG bestimmt, dass die Mindestbeteiligungsquote für die finanzielle Verbindung im Sinne des § 9 KStG mindestens 50 % betragen muss. § 9 KStG bestimmt, dass die Mindestbeteiligungsquote für die finanzielle Verbindung im Sinne des § 9 KStG mindestens 50 % betragen muss."
CORP-TAX-028,"Die finanzielle Verbindung zu einem Gruppenmitglied muss mindestens zwei Jahre bestehen. (§ 3 Abs. 1 KStG)
Die finanzielle Verbindung zu einem Gruppenmitglied muss mindestens zwei Jahre bestehen. (§ 3 Abs. 1 KStG)
Die finanzielle Verbindung zu einem Gruppenmitglied muss mindestens zwei Jahre bestehen. (§ 3 Abs. 1 KStG)
Die finanzielle Verbindung zu einem Gruppenmitglied muss mindestens zwei Jahre bestehen. (§ 3 Abs. 1 KStG)
Die finanzielle Verbindung zu einem Gruppenmitglied muss mindestens zwei Jahre bestehen. (§ 3 Abs. 1 KStG)
Die finanzielle Verbindung zu einem Gruppenmitglied muss mindestens zwei Jahre bestehen. (§ 3 Abs. 1 KStG)
Die finanzielle Verbindung zu einem Gruppenmitglied muss mindestens zwei Jahre bestehen"
CORP-TAX-029,"Ja, Gruppenverluste sind mit dem Gruppengewinn verrechnet, wenn sie aus Teilwertabschreibungen auf Beteiligungen an Körperschaften einer anderen Unternehmensgruppe stammen. § 8 Abs. 1 KStG sieht vor, dass der Gruppengewinn aus der Veräußerung von Beteiligungen an Körperschaften der anderen Unternehmensgruppe resultiert, sofern die Anteile nicht an Dritte veräußert werden (§ 8 Abs. 2 KStG). § 8 Abs. 2 KStG sieht vor, dass der Gruppengewinn aus der Veräußerung von Beteiligungen an Körperschaften der anderen Unternehmensgruppe resultiert, sofern die Anteile nicht an Dritte veräußert werden (§ 8 Abs. 3 KStG). § 8 Abs. 3 KStG sieht vor, dass der Gruppengewinn aus der Veräußerung von Beteiligungen an Körperschaften der anderen Unternehmensgruppe resultiert,"
CORP-TAX-030,"Die Körperschaftsteuer ist in Österreich und in Deutschland unbeschränkt steuerpflichtig und wird als Gruppenträger behandelt. § 8 Abs. 1 KStG sieht vor, dass die Körperschaftsteuer in Österreich und in Deutschland unbeschränkt steuerpflichtig ist und als Gruppenträger behandelt wird. § 8 Abs. 2 KStG sieht vor, dass die Körperschaftsteuer in Österreich und in Deutschland unbeschränkt steuerpflichtig ist und als Gruppenträger behandelt wird. § 8 Abs. 3 KStG sieht vor, dass die Körperschaftsteuer in Österreich und in Deutschland unbeschränkt steuerpflichtig ist und als Gruppenträger behandelt wird. § 8 Abs. 4 KStG sieht vor, dass die Körperschaftsteuer in Österreich und in Deutschland unbeschränkt steuerpflichtig ist und als Gruppenträger behandelt wird. § 8"
CORP-TAX-031,"Vorgruppenverluste sind die Verluste, die der Gruppe durch die Nutzung von Vorräten entstehen, die nicht in der Gruppe verbleiben, sondern in der Gruppe verbleiben. (§ 3 Abs. 1 KStG)
Vorgruppenverluste sind die Verluste, die der Gruppe durch die Nutzung von Vorräten entstehen, die nicht in der Gruppe verbleiben, sondern in der Gruppe verbleiben. (§ 3 Abs. 2 KStG)
Vorgruppenverluste sind die Verluste, die der Gruppe durch die Nutzung von Vorräten entstehen, die nicht in der Gruppe verbleiben, sondern in der Gruppe verbleiben. (§ 3 Abs. 3 KStG)
Vorgruppenverluste sind die Verluste, die der Gruppe durch die Nutzung von Vorräten entstehen, die nicht in der Gruppe verbleiben, sondern in"
CORP-TAX-032,"Die Verlustverrechnung ist eine Form der Gewinnverteilung, die in Deutschland gesetzlich geregelt ist. § 8 Abs. 1 KStG sieht vor, dass die Verlustverrechnung zwischen inländischen und ausländischen Gruppenmitgliedern erfolgt, wenn die Verluste aus der Beteiligung an einer inländischen Gruppe mindestens 10 % betragen. § 8 Abs. 2 KStG sieht vor, dass die Verlustverrechnung zwischen inländischen und ausländischen Gruppenmitgliedern erfolgt, wenn die Verluste aus der Beteiligung an einer inländischen Gruppe mindestens 10 % betragen. § 8 Abs. 3 KStG sieht vor, dass die Verlustverrechnung zwischen inländischen und ausländischen Gruppenmitgliedern erfolgt, wenn die Verluste aus der Beteiligung an einer inländischen Gruppe mindestens 10 % betragen. § 8 Abs. 4 KStG sieht vor, dass die Verlustver"
CORP-TAX-033,"Ja, die Einjahresfrist gilt für Beteiligungen aus Kapitalerhöhungen, die nicht in der Gewinn- und Verlustrechnung ausgewiesen sind. § 8 Abs. 1 KStG sieht vor, dass die Einjahresfrist für Beteiligungen aus Kapitalerhöhungen nicht gilt, wenn die Beteiligung mindestens 10 % beträgt und die Ausschüttung mindestens 10 % beträgt. § 8 Abs. 2 KStG sieht vor, dass die Ausschüttung mindestens 10 % betragen muss, um die Ausschüttung zu ermöglichen. § 8 Abs. 3 KStG sieht vor, dass die Ausschüttung mindestens 10 % betragen muss, um die Ausschüttung zu ermöglichen. § 8 Abs. 4 KStG sieht vor, dass die Ausschüttung mindestens 10 % betragen muss, um die Ausschüttung zu ermöglichen"
CORP-TAX-034,"Die Körperschaftsteuer ist eine Steuer, die auf die Körperschaftsteuer angerechnet wird, wenn die Körperschaftsteuer in einem Jahr um 10 % überschritten"
CORP-TAX-035,Die steuerliche Behandlung von Beteiligungen ist in § 8 Abs. 1 KStG geregelt. § 8 Abs. 1 KStG regelt die steuerliche Behandlung von Beteiligungen. § 8 Abs. 2 KStG regelt die steuerliche Behandlung von Beteiligungen. § 8 Abs. 3 KStG regelt die steuerliche Behandlung von Beteiligungen. § 8 Abs. 4 KStG regelt die steuerliche Behandlung von Beteiligungen. § 8 Abs. 5 KStG regelt die steuerliche Behandlung von Beteiligungen. § 8 Abs. 6 KStG regelt die steuerliche Behandlung von Beteiligungen. § 8 Abs. 7 KStG regelt die steuerliche Behandlung von Beteiligungen. § 8 Abs. 8 KStG regelt die steuerliche Behandlung von Beteiligungen. § 8 Abs. 9 KStG regelt die steuerliche Behandlung von
CORP-TAX-036,"Die Option zur Steuerwirksamkeit einer Schachtelbeteiligung beim konzerninternen Weiterverkauf im Rahmen einer Umgründung ist in § 8 Abs. 1 KStG geregelt. § 8 Abs. 1 KStG bestimmt, dass die Ausschüttung einer Ausschüttung an die Aktionäre der Gesellschaft, die die Ausschüttung einer Ausschüttung an die Aktionäre der Gesellschaft bewirkt, steuerlich absetzbar ist. § 8 Abs. 2 KStG bestimmt, dass die Ausschüttung einer Ausschüttung an die Aktionäre der Gesellschaft, die die Ausschüttung einer Ausschüttung an die Aktionäre der Gesellschaft bewirkt, steuerlich absetzbar ist. § 8 Abs. 3 KStG bestimmt, dass die Ausschüttung einer Ausschüttung an die Aktionäre der Gesellschaft, die die Ausschüttung einer Ausschüttung an"
CORP-TAX-037,"Gewinne aus ausländischen Kapitalgesellschaften unterliegen der Körperschaftsteuer (§ 10 KStG). § 10 KStG gilt nicht für Gewinne aus ausländischen Kapitalgesellschaften, die in Österreich ansässig sind (§ 10 KStG). § 10 KStG gilt nicht für Gewinne aus ausländischen Kapitalgesellschaften, die in Österreich ansässig sind (§ 10 KStG). § 10 KStG gilt nicht für Gewinne aus ausländischen Kapitalgesellschaften, die in Österreich ansässig sind (§ 10 KStG). § 10 KStG gilt nicht für Gewinne aus ausländischen Kapitalgesellschaften, die in Österreich ansässig sind (§ 10 KStG). § 10 KStG gilt nicht für Gewinne aus ausländischen Kapitalgesellschaften, die in Österreich ansässig sind (§ 10 KStG). § 10 KStG gilt nicht für Gewinne aus"
